"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Who is the first person you think of when you see this badge? 🇫🇷

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx-bvUQvIlR/","5791","","153814","2023-10-04T11:39:05.000Z",
"Up and running. 🤙🔓","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx8mJYYvXi-/","185","🔥🔥","57632","2023-10-03T18:31:33.000Z",
"A work of art from @SelecaoFemininaDeFutebol. 🎨🇧🇷

Will it win the FIFA Puskas Award?","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cx8osLFvFQ1/","223","You guys need a new social media manager 🤦🏽‍♂️","68870","2023-10-03T19:14:37.000Z",
"At the FIFA Council meeting, it was unanimously agreed that the sole candidacy for the 2030 edition of the FIFA World Cup will be the combined bid of 🇲🇦 Morocco, 🇵🇹 Portugal and 🇪🇸 Spain.

It was also agreed that, as a celebration of the centenary of the FIFA World Cup, 🇺🇾 Uruguay, 🇦🇷 Argentina and 🇵🇾 Paraguay will organise one match each in their respective countries, starting where it all began – at Montevideo’s mythical Estádio Centenário. 

This is the FIFA Council proposal to the FIFA Congress for 2030, with 2034 moving east to Asia and Oceania to ensure appropriate rotation between continents. In a divided world, FIFA and football are uniting! World football has unanimously agreed on something as important as the hosts of the FIFA World Cup, thus setting another example of how dialogue and mutual understanding can result in agreements where everyone wins, in particular fans, players and all the regions of the globe.

Many thanks to all six continental confederations for your commitment to bringing people together through our beautiful game. We can very proudly say that #FootballUnitesTheWorld ⚽🌍🌎❤️","Gianni Infantino - FIFA President","gianni_infantino","https://www.instagram.com/p/Cx_aSqdowHf/","0","","61378","2023-10-04T20:46:46.000Z",
"Strike a pose. 📸

@ViniJr 🇧🇷🔗🏴󠁧󠁢󠁥󠁮󠁧󠁿 @JudeBellingham","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx84pWES5vq/","182","😍😍🔥","193889","2023-10-03T21:13:12.000Z",
"🚨 Last chance to have your say! 🚨

Voting for #TheBest FIFA Football Awards 2023 closes Friday 6 October! 🗳️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CyA1Ak0NzBb/","280","Always Pessi there","20622","2023-10-05T09:58:23.000Z",
"You can’t let up against @_rl9! 🇵🇱

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx_AX3rNaVn/","319","😂😂😂😂😂","55566","2023-10-04T17:00:11.000Z",
"#TheBest nominees have been revealed! 👀

Vote now on FIFA.com! 🗳️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxLICd_N6vQ/","12606","We are manufacturer and exporter of sports wear and gym item any thing you want we will provide you A+ quality in best price with best price","268128","2023-09-14T13:25:40.000Z",
"🟠🎯 Dumfries on point. 

#FIFAWorldCup #Netherlands #Dumfries","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx8HckTNCXB/","69","","43080","2023-10-03T14:03:39.000Z",
"A Modrić masterclass at #FIFAWorldCup 2018! 💫","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx76sJEN9C6/","126","Modric is secretly the real goat ❤️","52650","2023-10-03T12:12:57.000Z",
"The FIFA Council unanimously agreed that in 2030, we will have a unique global footprint: three continents – Africa, Europe, and South America – six countries – 🇦🇷 Argentina, 🇲🇦 Morocco, 🇵🇾 Paraguay, 🇵🇹 Portugal, 🇪🇸 Spain and 🇺🇾 Uruguay – welcoming and uniting the world while celebrating together the beautiful game, the centenary FIFA World Cup!

Many thanks to everyone at @uefa_official, @caf_online, @conmebol, @theafchub, @concacaf and @ofcfootball for supporting FIFA in bringing the world together. 🤝 

#FootballUnitesTheWorld ⚽🌍🌎❤️","Gianni Infantino - FIFA President","gianni_infantino","https://www.instagram.com/p/Cx_FLKVvYsw/","0","","376489","2023-10-04T17:41:09.000Z",
"Who is the first person you think of when you see this trophy? 🏆","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx5RHr9OGzZ/","6464","CR7","200296","2023-10-02T11:30:10.000Z",
"🇰🇿 What a strike by Askhat Tagybergen! 🤯

Does it get your vote for the FIFA Puskas Award? 👀

Footage courtesy of the Union of European Football Associations (UEFA)","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx5G14itTNL/","2400","🔥🔥","82576","2023-10-02T10:00:39.000Z",
"Phonzie’s got a knack for arriving in the box! 🌬️

#FIFAWorldCup #Canada","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx8gCLURN1-/","76","Magical moment 😢🇨🇦","32672","2023-10-03T17:39:22.000Z",
"🗣️🇺🇸

#FIFAWorldCup #USA #USMNT","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx2vzU3LzWz/","92","The best ❤️","63553","2023-10-01T12:00:28.000Z",
"El Matador = Always dangerous in the air! 🇺🇾🏹","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx29ih2NNR6/","231","His passion > suarez","96252","2023-10-01T14:00:00.000Z",
"Sometimes you just have to be in the right place at the right time... 🇪🇨⏰","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx5bcoptCnx/","147","","51177","2023-10-02T13:00:00.000Z",
"A young lion before he became the king of the jungle. 🇸🇪🦁

#HBD | #FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx7lD_yK4aq/","110","He’s one of the best pat-yourself-on-the-backers out there","80646","2023-10-03T09:02:51.000Z",
"A legendary defender, but he can also finish when he needs to 🌟🇮🇹","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx3f69VNWzL/","107","❤️","51850","2023-10-01T19:00:00.000Z",
"🎩 @cristiano Ronaldo Magic!

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx5lxUlIMSv/","2360","Penaldo siempre de penal","573436","2023-10-02T14:30:32.000Z",
"Two of Brazil's finest! 🇧🇷🏅

#HBD","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx5-eYfv2Gz/","239","Wow that is good👏","212820","2023-10-02T18:06:24.000Z",
"Pulling all the right strings. 🌟

#TheBest","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx_e-s_L85M/","139","","54009","2023-10-04T21:26:38.000Z",
"Chest. Touch. Chest. Volley. 🤤 

@IbizaUD’s Iván Morante is a worthy FIFA Puskas Award nominee! 🎥 

Footage courtesy of LALIGA HYPERMOTION","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx06-udt23B/","56","🔥🔥","70982","2023-09-30T19:00:49.000Z",
"That Fernández x Álvarez link up! 🔗🇦🇷

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx-jt1WNMH7/","307","This was shaboing boing","47327","2023-10-04T12:55:02.000Z",
"When Doan starred as Japan defeated Germany! 💫

#FIFAWorldCup #Japan","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx2lnoNOE-n/","76","From this goal, Samurai continues to grow!","35395","2023-10-01T10:33:34.000Z",
"We’ve all seen the save, but how important was Romero’s header?! 😳","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx0ELq3tYq2/","2150","Every piece is important in solving a puzzle game...","386367","2023-09-30T11:00:00.000Z",
"Hit the bicycle kick from outside the box! 🚲😱

Is Guilherme Madruga’s goal your FIFA Puskas Award winner?

🎥 Footage courtesy of @BrasileiraoB & @brax_sa","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxySlBjPZ2e/","186","Puskas","73078","2023-09-29T19:02:20.000Z",
"Pepe ☄️","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxx6y_qt27C/","81","","49470","2023-09-29T15:00:00.000Z",
"IQ level on this Wout Weghorst goal: 2000 🧠🤯

#FIFAWorldCup #Netherlands","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/CxyH_3yxmB8/","898","Lastima que no alcanzó...","162386","2023-09-29T17:01:50.000Z",
"A scorer of some of football’s most outrageous goals! 💫 #HBD","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx0R1evtCYf/","220","👏👏👏😊👍","58014","2023-09-30T13:00:00.000Z",
"It is great to look back and celebrate those who have won The BEST FIFA Men’s Player award over the years! 👏 

All the winners, as well as those nominated in years gone by, have played a huge part in bringing joy to football fans all over the world and uniting people through our beautiful game. ⚽❤️🌎

#FootballUnitesTheWorld","Gianni Infantino - FIFA President","gianni_infantino","https://www.instagram.com/p/Cx29BlIoOxJ/","0","","148951","2023-10-01T13:57:17.000Z",
"Certified worldie. 🚀 

Will @SamanthaKerr20’s goal at #FIFAWWC win the FIFA Puskas Award? 🏆","FIFA Women's World Cup","fifawomensworldcup","https://www.instagram.com/p/Cx2fEBxuBDH/","99","I could watch Sam kicking that goal over and over again she is just a champion cheers 🍻","31997","2023-10-01T10:02:30.000Z",
"It has been my honour to present 🏆 The BEST FIFA Women’s Player award to the most fantastic players of the women’s game. 👏 

I am so pleased to see the continued, incredible growth of women’s football with this year’s greatest-ever FIFA Women’s World Cup another catalyst in taking the game #BeyondGreatness ⚽❤️","Gianni Infantino - FIFA President","gianni_infantino","https://www.instagram.com/p/Cx0Tp0zI2sW/","0","","19526","2023-09-30T13:19:44.000Z",
"📂 Celebrations that go hard

@OlivierGiroud | @EquipeDeFrance","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cx0tTT-NWB1/","400","","155293","2023-09-30T17:00:42.000Z",
"Livakovic = Croatia's brick wall! 🇭🇷🧱

#FIFAWorldCup","FIFA World Cup","fifaworldcup","https://www.instagram.com/p/Cxuz_RkI5tZ/","413","Eliminou o Brasil pra entregar pra Argentina, FIFA corrupta","96513","2023-09-28T10:03:09.000Z",
